location,image_description,text,translated_text,id
Top,"Text with two emojis, one is neutral face and the other is a sunflower.",Jamba ManC bra 😐🌻,Jamba ManC bra 😐🌻,image_bodo_149.jpg
Middle,A blue character with a smiley face sitting in a corner in a dark room.,,,image_bodo_149.jpg
Bottom,Text with a smiley face emoji.,Raojngbw Naison Jaya 🙂,Raojngbw Naison Jaya 🙂,image_bodo_149.jpg
Top,Text in bold Devanagari script with a Facebook logo and text 'MoYe Memer' below it.,"सिखलाफोरनि बयनिफ्रुइबो गोब्राबसिना
खामानिया मा ।","What did the Sikh ask everyone?
Eat and drink.",image_bodo_3.jpg
Top Left,Number 1 in parentheses followed by text.,(1) Reels बानयनाय ।,(1) Making Reels.,image_bodo_3.jpg
Top Right,Number 2 in parentheses followed by text.,(2) दुगनाय ।,(2) Doubled.,image_bodo_3.jpg
Middle Left,Number 3 in parentheses followed by text.,(3) हौवा गोसोथोनाय ।,(3) Making the mind fly.,image_bodo_3.jpg
Middle Right,Number 4 in parentheses followed by text.,(4) देलायनाय ।,(4) Giving.,image_bodo_3.jpg
Bottom Left,Number 5 in parentheses followed by text.,(5) Mobile नायनाय ।,(5) Buying a Mobile.,image_bodo_3.jpg
Bottom Right,Number 6 in parentheses followed by text.,(6) बेरायनाय ।,(6) Roaming.,image_bodo_3.jpg
Top,"A list of questions or options written in a script that appears to be an Indian language, possibly related to mobile phones or choices.","सों-खोथिया फोनो थाखाय सोमनाय मायखौ
मा बुडो-
1)मायगाब
2)जुजाइ
3)माइज़लि
4)एंखुर","Which phone do you call somnay?
What is the meaning?
1) Maygab
2) Jujad
3) Majali
4) Ankhur",image_bodo_571.jpg
Bottom right,"A profile picture of a young person, with the name 'Adwi Gojo' and 'Just now' indicating a recent post.","Adwi Gojo
Just now","Adwi Gojo
Just now",image_bodo_571.jpg
Top,"Logo of facebook and text ""Memes bodo""",Memes bodo,Memes bodo,image_bodo_217.jpg
Middle,Text with an emoji of a person looking up with wide eyes,"posainai ckla kwo mwnmara ctwb
The emoji is of a person with wide eyes looking up.","No, it's not like that.
The emoji is of a person with wide eyes looking up.",image_bodo_217.jpg
Bottom,"Logo of instagram and text ""Memes bodo""",Memes bodo,Memes bodo,image_bodo_217.jpg
Right side,"Logos of facebook, youtube, twitter, and instagram",,,image_bodo_217.jpg
Left side,"Text ""facebook"" written vertically",facebook,facebook,image_bodo_217.jpg
Top text,Black text on a white background.,Ma Gontha Songsar jagwn lwi be bodi Gorom ao 🌍 ☀️ ☀️ 🙂,Ma Gontha Songsar will become very hot when it is windy 🌍 ☀️ ☀️ 🙂,image_bodo_203.jpg
Bottom text,"Text in light green and pink color, possibly a watermark or signature.",Memes bodo,Memes bodo,image_bodo_203.jpg
Top,,साख्रि बाख्रि गैयाब्ल न्वसिजामारो,Sakhri Bakhri Gaiyabl Newshimarooo,image_bodo_559.jpg
Bottom,A man is laughing uncontrollably.,बै थरला थरला सेंगाफोरा बोरै फथायना लायो?,Did Bai Thorla Thorla Sengafora bore take it?,image_bodo_559.jpg
top,Text in large black font.,बे । BTR आवं आंखां हमनों हानंय पुलिस उजिथयाखै,"Oh. BTR has come, we are afraid of police.",image_bodo_564.jpg
middle,"A man in a doctor's coat and stethoscope with glasses on, looking at the camera. A Facebook profile picture and name are overlaid.","Adwi Gojo
Just now","Adwi Gojo
Just now",image_bodo_564.jpg
bottom,Text in black font.,आं दा Thailand आव SHORT MOVIE गायनयि planning सो खालामगासिनो,I am planning to make a short movie in Thailand.,image_bodo_564.jpg
Top part of the image,"A man in sunglasses and a stylish outfit, gesturing with his hands.",हा थप गैब्लाबो थलिर जायो मा बेलय?,Why did you go to thalira? ,image_bodo_570.jpg
Bottom right part of the image,"A profile picture of a young man and text indicating it was posted ""Just now"".","Adwi Gojo
Just now","Adwi Gojo
Just now",image_bodo_570.jpg
Top,White text on a dark background.,"Manc Orla
Baigwn
Lwdwi ah
Bekwo mwna
batai !","Manc Orla
Baigwn
Lwdwi ah
Bekwo mwna
batai !",image_bodo_216.jpg
Bottom,White text on a dark background with a sad face emoji.,"Miti khaya ag
:(
","Miti khaya ag
:(",image_bodo_216.jpg
Top,"A cute white cat crying, holding a bowl of blue liquid.",Dukuni Mwdwi,I am sad,image_bodo_174.jpg
Bottom,"A cute white cat crying, holding a bowl of blue liquid.",Bungpob jwbbai sw,I will not eat,image_bodo_174.jpg
Top,A cute character is singing into a microphone.,Mabwla lwgw mwngwn ag,I am singing happily,image_bodo_89.jpg
Bottom,A cute character is singing into a microphone.,Agni jiuni sona pibibar kwo,You are my darling,image_bodo_89.jpg
Top,,BOROGOYARI=LWNGBA POLITICAL NI KWTA RYLYGRA,BOROGOYARI=LWNGBA POLITICAL NI KWTA RYLYGRA,image_bodo_410.jpg
Middle Top,,NARZARY=LWNGBA ENGLISH RYLYGRA,NARZARY=LWNGBA ENGLISH RYLYGRA,image_bodo_410.jpg
Middle,sad emoji,"BASUMATARY=LWNGBA_GABGRA
",BASUMATARY=LWNGBA_GABGRA,image_bodo_410.jpg
Middle Bottom,profile picture of a man,"BRAHMA=LWNGBA_HEBGRA
",BRAHMA=LWNGBA_HEBGRA,image_bodo_410.jpg
Bottom Top,,BORO=LWNGBATY WNKAM JAYA,BORO=LWNGBATY WNKAM JAYA,image_bodo_410.jpg
Bottom,,MUSHAHARY=LWNBATY WNKAM JAYA,MUSHAHARY=LWNBATY WNKAM JAYA,image_bodo_410.jpg
Top text,Black text on white background with happy emoji.,NEW YEAR NI PRAY HABA JAKANY HINJIAOKWO NYLA :),NEW YEAR NI PRAY HABA JAKANY HINJIAOKWO NYLA :),image_bodo_404.jpg
Center image,"A man with his eyes closed, laughing hard with his mouth open. A Facebook logo and text 'Adwi Mēmar' and 'Just now' are visible next to the man.","Adwi Mēmar
Just now","Adwi Mēmar
Just now",image_bodo_404.jpg
Bottom text,Black text on white background with praying hands emoji and a worried face emoji.,SWLYTARSWI ANG 🙏🥺,SWLYTARSWI ANG 🙏🥺,image_bodo_404.jpg
Top text,The text is written in black on a white background. The text is in Bodo language and it says 'Bwisagu ao Ngjing Mwsapanw sannai'. There is an emoji of a neutral face next to the text.,Bwisagu ao Ngjing Mwsapanw sannai,When you are too lazy to get up,image_bodo_62.jpg
Middle image,"A cute, cartoonish white cat character is sitting with its eyes closed and a contented expression. The cat has pink cheeks and ears. There is text 'Memes bodo' written on its chest. There are small flowers on the grass below the cat.",,,image_bodo_62.jpg
Bottom text,"The text is written in black on a white background. The text is in Bodo language and it says 'Simanga Simangwinw Thalang Gwnsw Nma'. There is an emoji of a sad, crying face next to the text.",Simanga Simangwinw Thalang Gwnsw Nma,"Still, you will not get up?",image_bodo_62.jpg
Top,The text is white and centered on a purple background.,"Upai gwitarwi ao
dnwi
Nwmbajwi kwo
labw marbai
Ang dnwi
horao nani mwn agwimwn","Upai guitarao
Brother
You are great
labw marbai
Brother
It's amazing",image_bodo_60.jpg
Top,"A cute, sad-looking cat character with blushing cheeks and downcast eyes, lying down. Text is above the cat.","Ag Ngkwo Mjng Mwne Ng
Agkwo Mjng Mwna
","I will not go to the meeting
I will not go",image_bodo_48.jpg
Bottom,"A sad-looking cat character with blushing cheeks and downcast eyes, lying down. Text is below the cat.","Biniprai Duku sin Ma
Dgbaoyw","Please do not leave me
I will be sad",image_bodo_48.jpg
center,"Text in Devanagari script saying ""फिजाजोखौ मोनाब्लबिमारखौन लागोन आं"" which translates to ""I don't know if it's time to fall sick again.""",फिजाजोखौ मोनाब्लबिमारखौन लागोन आं,I don't know if it's time to fall sick again.,image_bodo_412.jpg
Left overlay,"A screenshot of a Facebook post showing a woman's profile with her name 'Mhry Medika' and the text '3 mutual friends'. Below this, another profile name 'Dengkw Narzary' is visible with an 'Add friend' button.","Mhry Medika
3 mutual friends
Dengkw Narzary","Mhry Medika
3 mutual friends
Dengkw Narzary",image_bodo_374.jpg
Right overlay,"A screenshot of a video post with a woman smiling, a thumbs up icon, and the text '1.7K' indicating likes. Below this, the number '415' is displayed, and a comment section starts with the name 'Mhry Medika'. The comment reads, 'Besitw laya mn $=

nai a hwoa pwr nw hai $=
Mtw n
cpa bw letra nw hai $=
'.","Mhry Medika
Besitw laya mn $=

nai a hwoa pwr nw hai $=
Mtw n
cpa bw letra nw hai $=
","Mhry Medika
Besitw laya mn $=

nai a hwoa pwr nw hai $=
Mtw n
cpa bw letra nw hai $=
",image_bodo_374.jpg
Top,"Green text overlay on a chat interface, reads 'BE DOLLER KAMYGRAPWRKWO SASE BRO'.",BE DOLLER KAMYGRAPWRKWO SASE BRO,Be dollar camera work so say bro,image_bodo_360.jpg
Middle Top,A chat conversation with a contact named 'BUHUM BRO'. The messages are about asking for something and the other person is replying. The background shows a natural scene with plants and water.,"BUHUM BRO
online
Nangwoba kobor hwlwi
Ranna hornang
You
Nykwna nydeya bwrw
Ma bustu bilai","BUHUM BRO
online
How are you
I am fine
You
What are you doing
How much",image_bodo_360.jpg
Middle Bottom,A chat bubble with text and an emoji.,"Metric pass reels bnyna gwrwng
naggwo to arw bro 🙂","Metric pass reels, my brother, my brother 🙂",image_bodo_360.jpg
Bottom,"Green text overlay on a chat interface, reads 'ANG CAMERA KEBNYAYAO GWRWNGKA'.",ANG CAMERA KEBNYAYAO GWRWNGKA,And camera you can do it,image_bodo_360.jpg
Top,Bold text in Devanagari script.,लेखा रौंये सिख्लाफिराबो,Writers are taught to be reckless.,image_bodo_348.jpg
Middle Top,Bold text with brand names of motorcycles.,"NS,MT.R15,KTM","NS,MT.R15,KTM",image_bodo_348.jpg
Middle Bottom,Text in Devanagari script mentioning motorcycle brands.,गोनां सेंग्रा नागिरोब्ला जों,All these will get you nothing,image_bodo_348.jpg
Bottom,Text in Devanagari script with the word CYCLE highlighted.,CYCLE जों बेरायग्राआ सोरखौ लानौगौ,CYCLE will give you strength,image_bodo_348.jpg
Center,Text in white background with a smiling emoji at the end.,"Engine pwranw Lorgo thorgo jajwai dang Manc pwr na Lwngnanwi

","Engine's everyone else's, yours is yours anyway",image_bodo_189.jpg
Top text,"Text on the top of the image in black color saying ""jarla lwi comment prabw"" with a yellow emoji with wide eyes and open mouth.",jarla lwi comment prabw,jarla lwi comment prabw,image_bodo_604.jpg
Main image,A man in a red and black patterned jacket and a woman in a maroon sari are standing in front of a natural landscape with mountains and trees. The man is holding the woman's face and they are looking at each other.,"You, Mēro Bôglry and 2.8K others","You, Mero Bôglry and 2.8K others",image_bodo_604.jpg
Author comment,"Profile picture of a man with a white background and text starting with ""Author"" and then the name ""Mithinga Boro"".","Author
Mithinga Boro
Thanks All Boibw Naidw Share Khalam dw onna Nwi Full video Pwiga senw Angni Mithinga Vlog Channel aw nw Nugwn","Author
Mithinga Boro
Thanks All Boibw Naidw Share Khalam dw onna Nwi Full video Pwiga senw Angni Mithinga Vlog Channel aw nw Nugwn",image_bodo_604.jpg
Sangina Brahma comment,"Profile picture of a woman and text saying ""Sangina Brahma"" and ""Nice"".","Sangina Brahma
Nice","Sangina Brahma
Nice",image_bodo_604.jpg
Ribika Brahma comment,"Profile picture of a woman and text saying ""Ribika Brahma"" and ""Very nice"".","Ribika Brahma
Very nice","Ribika Brahma
Very nice",image_bodo_604.jpg
Rimïs Basumatary comment,"Profile picture of a woman and text saying ""Rimïs Basumatary"" and ""Nice jwngni boro abo ada mwn somaina pwr ka"".","Rimïs Basumatary
Nice jwngni boro abo ada mwn somaina pwr ka","Rimïs Basumatary
Nice jwngni boro abo ada mwn somaina pwr ka",image_bodo_604.jpg
Monila Boro comment,"Profile picture of a woman and text saying ""Monila Boro"" and ""Super"".","Monila Boro
Super","Monila Boro
Super",image_bodo_604.jpg
Jali Tay comment,"Profile picture of a woman and text starting with ""Jali Tay"" and then a longer comment about an actress.","Jali Tay
Haitata tay somaiyaswi actres jwng puji kou ag simangao merla mwnby kintu","Jali Tay
Haitata tay somaiyaswi actres jwng puji kou ag simangao merla mwnby kintu",image_bodo_604.jpg
Left side text,"Text in black color on the left side of the image, written vertically, with a smiley face emoji next to it.",সিম। आव,sim. aav,image_bodo_604.jpg
Top,Text written in Bodo language on a white background,हाबा जायालासे थैबा बबे बिफांरखौ गायनाय जायो-,Which song is sung by everyone?,image_bodo_599.jpg
"1)  
",The number 1 followed by text in Bodo language,1) औवा,1) Auwa,image_bodo_599.jpg
"2)  
",The number 2 followed by text in Bodo language,2)गय बिफां,2) Gay Biphaang,image_bodo_599.jpg
"3)  
",The number 3 followed by text in Bodo language,3) थालिर बिफां,3) Thalir Biphaang,image_bodo_599.jpg
"4)  
",The number 4 followed by text in Bodo language,4)गामबारि बिफां,4) Gambari Biphaang,image_bodo_599.jpg
Right side with Facebook logo,Facebook logo and text 'Adwi Memar' on a white background,Adwi Mēmār,Adwi Memar,image_bodo_599.jpg
Top,"A finger is pointing to the text in the image. The text is in an unknown script. Below the text, there is a profile picture with a name and status.","খাইনি phone খৌ মানো receive খালামারখৈ
নোংহা গুখুন মোজাং মনননায় দংখায়ো নামা?","Do you receive phone calls
No, I have stopped picking up?",image_bodo_566.jpg
Top,text in Bodo language with a smiling emoji,थैननै गोदान जोनोम जाबाथाय 🙂,What a birth for the cow donor :),image_bodo_200.jpg
Middle,A woman in a bikini and shorts leans towards a cow which is sniffing her chest.,Memes bodo,Memes bodo,image_bodo_200.jpg
Bottom,text in Bodo language with a smiling emoji,मोसैं जागोन आं मोसैं लाय 🙂,"I will wake up, I will sleep :)",image_bodo_200.jpg
Text,Text that reads ctwb Rongjanai bwtwrao ma daorao daosi bra ngsrli with a grinning face emoji.,"ctwb Rongjanai bwtwrao
ma daorao daosi bra
ngsrli😊","Because it is beautiful, will you stop arguing?
Is it hard to do?
will not be",image_bodo_214.jpg
top,Logo of Facebook and text 'Memes bodo',Memes bodo,Memes bodo,image_bodo_228.jpg
center,Text written in Bodo language with a crying emoji,"obaoba program dg ba leghor
dwlwi agkwobw jngni ting
gwiya ctwb siri tar 😥","It is not raining, there is no program, the sun is shining, it is raining.",image_bodo_228.jpg
right side,"Social media icons for Facebook, YouTube, Twitter and Instagram",,,image_bodo_228.jpg
left side,Facebook logo and text 'facebook' written vertically,facebook,facebook,image_bodo_228.jpg
bottom,Logo of Instagram and text 'Memes bodo',Memes bodo,Memes bodo,image_bodo_228.jpg
top text,Text in black color on white background.,Matw Ng Agkwo,Where is the ghost?,image_bodo_229.jpg
middle image,"A yellow emoji with a wide smile and sparkling eyes, pointing its finger to the right.",,,image_bodo_229.jpg
bottom text,Text in black color on white background.,Gwsw Twkumayw nw,"He is not there, but that is okay.",image_bodo_229.jpg
top logo,Facebook logo and text 'Memes bodo'.,Memes bodo,Memes bodo,image_bodo_229.jpg
bottom logo,Instagram logo and text 'Memes bodo'.,Memes bodo,Memes bodo,image_bodo_229.jpg
center,Text on a white background with two bananas and a laughing emoji,"lwdwi begot pwr be talir
petafya jahwgwn ngswrkwo
dekai bai tanw","This is not good, my power is gone
People are laughing at me
Look at the person",image_bodo_215.jpg
Top,text in Nepali language on white background,बैथाला TOTO DRIVER आ हाखर हाखरजौं सालायनानै,Sitting TOTO DRIVER will salute you with a lot of effort,image_bodo_567.jpg
center,"A young child with a grumpy expression, wearing a yellow striped shirt. There is a profile picture of a young man named Adwi Gojo next to the child.","Adwi Gojo
Just now","Adwi Gojo
Just now",image_bodo_567.jpg
bottom,text in Nepali language on white background,जोँनि दुदु मावनायखै आयनायाव नायबाय थादों,You can see the mother's work in the mirror,image_bodo_567.jpg
Top,Text in bold says Bigut sala,Bigut sala,Bigut sala,image_bodo_201.jpg
Middle,"A cartoon of a white character with eyes and a smile, holding a yellow slipper in its left hand.",Memes bodo,Memes bodo,image_bodo_201.jpg
Bottom,Text in bold says Agni Ex ni photo kwo dabw Danakhwi ng,"Agni Ex ni photo kwo
dabw Danakhwi ng","Agni Ex ni photo kwo
dabw Danakhwi ng",image_bodo_201.jpg
Top,text in black font at the top of the image,सारखि थाबामलाय मोनो आनिखौ,Why are you stopping me and looking?,image_bodo_598.jpg
Center,"A couple dressed in traditional Indian wedding attire. The groom is on the left wearing a cream-colored sherwani with red accents and a pink turban, holding a sword. The bride is on the right wearing a red and pink lehenga, adorned with jewelry, and a pink veil.",,,image_bodo_598.jpg
Bottom,text in black font at the bottom of the image,नै दासो मन्दिर आव हाबा लाना फैदां,Now let's go to the temple and get married.,image_bodo_598.jpg
Top part of the image,The text is in black color on white background. The text is written in Devanagari script.,"सिंखां बोखारबासो सनिखौं
मोनजायो मा जिनिस दे ?","What kind of thing do you get when you get a cold?
Is it a matter of concern?",image_bodo_1.jpg
Top,"Text in black, bold sans-serif font, center-aligned at the top of the image.",Bini SMS Pwida pwi,Only SMS will be sent,image_bodo_177.jpg
Middle,"A cartoon illustration of a crying character in bed, holding a phone. A clock is visible to the left.",Memes bodo,Memes bodo,image_bodo_177.jpg
Bottom,"Text in black, bold sans-serif font, center-aligned at the bottom of the image.",Be current ah pwiblanw jayw agna 😊,"Be current and don't go away, my friend",image_bodo_177.jpg
Top,"Profile picture of a woman and text indicating a Facebook post by Sumy Bsty, suggesting it for the user, posted 1 day ago, with options to react and comment.",Beni address nangwo angnw swr hinjaw bepari biy w seimaya Video labw nangwo Nama agwi mwn bung??,"Are you going to give me your address? Video will be uploaded, will you be happy?",image_bodo_611.jpg
Middle left,"A man in a yellow sweater and dark pants is sitting on a red stool, looking at the camera with a smile.",,,image_bodo_611.jpg
Middle right,"A man in a white collared shirt is looking at the camera with a slight smile, with a lush green tea garden and hills in the background.",,,image_bodo_611.jpg
Bottom right,"A comment section on a Facebook post, with a yellow circle drawn around a comment by 'A Bilash Boro'.",Nwg lai hor1 ao bese laihw...10 20k...ag jagwn bung,I don't want it anymore... 10 20k... will be happy,image_bodo_611.jpg
Top,The meme has a thin pig in the center.,HINJAO NAGERBYINW HABANI OMAYA,HINJAO NAGERBYINW HABANI OMAYA,image_bodo_349.jpg
Bottom,The meme has a thin pig in the center.,swrlab swrtqb jajwbby kasiswmn lwgwpwr,swrlab swrtqb jajwbby kasiswmn lwgwpwr,image_bodo_349.jpg
Top,The text 'Dana Malai Barhungkha pwiblabw :)' is displayed in black font.,Dana Malai Barhungkha pwiblabw :),Dana Malai Barhungkha pwiblabw :),image_bodo_49.jpg
Middle,A cute grey cat is lying on a purple and white checkered pillow. There is a watermark that says 'Memes bodo'.,,,image_bodo_49.jpg
Bottom,"The text 'Agkwo Gwsw khangtarla Gwdan Mwnbai Dang :""):("" is displayed in black font.","Agkwo Gwsw khangtarla Gwdan Mwnbai Dang :'):(""","Agkwo Gwsw khangtarla Gwdan Mwnbai Dang :'):(""",image_bodo_49.jpg
Top text,"Text in black, large font, with a yellow smiley face emoji after the second line.","China ao tangnanwi Henjao
Sase LanAnwi 🙂","China is having fun
I am not",image_bodo_61.jpg
Middle image,"A cartoon drawing of a white, blob-like creature with two dots for eyes and a curved line for a mouth, appearing to be lying down. There is a small watermark ""Memes bodo"" in yellow on the bottom right of the creature.",,,image_bodo_61.jpg
Bottom text,"Text in black, large font, with a crying face emoji at the end of the last line.","NgSR jng video call klm hornw sannai
Simanga Simangwinw Thalang marbai
agna 😭","I will talk to you on video call if you want
I will not make you cry
No",image_bodo_61.jpg
Top banner,A red banner with white text indicating contact information for news advertisements.,FOR ANY NEWS ADVERTISEMENT CONTACT US : 9678455328,FOR ANY NEWS ADVERTISEMENT CONTACT US : 9678455328,image_bodo_371.jpg
Middle text,"Text in a non-English language, possibly Bodo or a related dialect, about social issues and the youth.","रिल्ल खालामनै समाजखौ गुबुंले खालामग्रा बर' आइजोनि
सायाव गामिनि राइजो राजाफोरनि गोब्रां

राहा ।","The youth of the Bodo society are creating confusion and confusion regarding
people like the king of the country.

Go.",image_bodo_371.jpg
Video title,"Title of a video, possibly in Bodo, with prayer hand emojis.",Agkwo nimaha. Hwdu lwgwfwr 🙏🙏🙏,Agkwo nimaha. Hwdu lwgwfwr 🙏🙏🙏,image_bodo_371.jpg
Video metadata,Metadata showing views and time elapsed for the video.,92 views · 27 minutes ago ...more,92 views · 27 minutes ago ...more,image_bodo_371.jpg
Channel information,"Information about the video uploader, including a profile picture and channel name.",Konjita Basumatary 25,Konjita Basumatary 25,image_bodo_371.jpg
Subscribe button,A subscribe button for the channel.,Subscribe,Subscribe,image_bodo_371.jpg
Top,,GUNDAYA ANGBW GUNDAKA ASE,Do you have someone to support you?,image_bodo_417.jpg
Middle,A man laughing hysterically while holding a microphone. There is a musical note floating next to the microphone. A Facebook profile picture and name are visible on the right.,,,image_bodo_417.jpg
Bottom,,TEOBW ASE CHANGE JASANG RAIJWPWR,"If you don't have anyone, then you need to change yourself.",image_bodo_417.jpg
center,"A young man in a plaid shirt is standing in front of a brick wall under construction, with rebar sticking out of the wall. He is looking at the camera and extending his left hand.",,,image_bodo_403.jpg
Top,black text on white background with numbers and letters,1:42 TRY TRY LYTARMWN,1:42 TRY TRY LYTARMWN,image_bodo_365.jpg
Middle,A young black man is laughing with his hand on his forehead.,,,image_bodo_365.jpg
Bottom,black text on white background with numbers and letters,"MY FRIENDS:आसि नि
 जायगायाव आं मोनबा सि :)","MY FRIENDS: Asif Ni
 Jaygaiyav Ang Monba Si :)",image_bodo_365.jpg
Top text,,सिख्लानि आखायखौनोनो दानो मोनफेरायखौ,He who is taught will not be easily deceived,image_bodo_629.jpg
Bottom text,,ददु दानयिनि सिमांखौथ बाद दोन,The price of the taught is double,image_bodo_629.jpg
Top,"Text that says ""I miss you"" with a sad emoji",I miss you,I miss you,image_bodo_173.jpg
Middle,"A sad cartoon cat peeking from behind a white surface with a watermark ""Memes bodo""",Memes bodo,Memes bodo,image_bodo_173.jpg
Bottom,Text in Bodo language with a neutral face emoji,Gwma langgjwbbai Jngni Sona mao ji hwnnai lainaiya,"I miss you, my love. You are everything to me.",image_bodo_173.jpg
Top,Text in black with a white background.,Simang mwgthang da klm lang ng agkwo,You will never go out from here.,image_bodo_167.jpg
Middle,"A person lying in bed covered with a blue blanket, a pizza box and a drink on the floor next to the bed, a phone and a bag of chips on the floor. A clock on the bedside table shows 03:00.",,,image_bodo_167.jpg
Bottom,Two sad emojis with sweat drops.,,,image_bodo_167.jpg
Top,Text in white color on black background.,COMMENT YA JADRAYASWI BENA,Comment you very well know,image_bodo_588.jpg
middle,A woman in a green saree is standing and posing for a video. She is wearing a pink blouse and her hair is tied up.,Show your support,Show your support,image_bodo_588.jpg
middle,Text buttons for subscription and user profile information.,Konjita Boro Subscribe,Konjita Boro Subscribe,image_bodo_588.jpg
middle,Video tags and information.,iPhone##Dokan##Bodo##Video##Famore,iPhone##Shop##Bodo##Video##Famore,image_bodo_588.jpg
middle,Audio information and a user comment.,"Konjita Boro Original audio


Lucky Boro

4 Cw Add Friend
Dwid
Swai gikaia","Konjita Boro Original audio


Lucky Boro

4 Cw Add Friend
Dwid
Swai gikaia",image_bodo_588.jpg
Top,"Text with emojis. The text is in a stylized font and appears to be in a language other than English. There are three emojis: a blushing face with smiling eyes, a monkey covering its eyes, and a grinning face with smiling eyes. The background is a speckled gray.","aywi ngkwo mwnnai mwnbla ctwb




",I am very happy to go.,image_bodo_205.jpg
Bottom,Text with an emoji. The text is in the same stylized font as the text above. There is one emoji: a face with stars for eyes. The background is a speckled gray. A watermark appears in the bottom right corner.,"Jatar bai mwn
",Let's have fun.,image_bodo_205.jpg
Top,"The text ""આં હિનજાવ લાલા રયજોફોર"" is written in Gujarati on the top of the image.",આં હિનજાવ લાલા રયજોફોર,"Don't come, red jeep",image_bodo_563.jpg
Middle,A close-up of a Black man looking upwards with a surprised expression.,,,image_bodo_563.jpg
Bottom,"The text ""લોગોફોરા હિનજાવ લાના માબાયદિ સંસાર જાયો બેખૌસો નાયનો નેગાસિનો"" is written in Gujarati below the image.",લોગોફોરા હિનજાવ લાના માબાયદિ સંસાર જાયો બેખૌસો નાયનો નેગાસિનો,"I am afraid of the world, I am not afraid of anything",image_bodo_563.jpg
Top,"Green text with a yellow outline on a white background, followed by a black line and then more black text.","होवाखो नों गाहयानि माबे मोनसेजों राYouTube दावराव
जाबा-","What are the five ways to laugh on YouTube?
Jaba-",image_bodo_577.jpg
1) बैथाला,,1) बैथाला,1) Laughing,image_bodo_577.jpg
2) नाफाम सिखाव,,2) नाफाम सिखाव,2) Learn from mistakes,image_bodo_577.jpg
3) दावला,,3) दावला,3) Give,image_bodo_577.jpg
4) बिमानि फियाय,,4) बिमानि फियाय,4) Deceive,image_bodo_577.jpg
5) आलसिआ,,5) आलसिआ,5) Lazy,image_bodo_577.jpg
User profile,A circular profile picture of a young man.,"Adwi Gojo
Just now","Adwi Gojo
Just now",image_bodo_577.jpg
6) बिफा जोलै फिसा,,6) बिफा जोलै फिसा,6) Make fun of someone,image_bodo_577.jpg
7) गुन्दा,,7) गुन्दा,7) Angry,image_bodo_577.jpg
9) हेबग्रां,,9) हेबग्रां,9) Laughter,image_bodo_577.jpg
8) लोदै आव सान्दुं नां iban सिखाग्र,,8) लोदै आव सान्दुं नां iban सिखाग्र,8) Then I will give a laugh,image_bodo_577.jpg
11) अरहेनाय गोनां,,11) अरहेनाय गोनां,11) That's why,image_bodo_577.jpg
